passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,vendor_id,pickup_datetime,dropoff_datetime,rate_code,payment_type,imp_surcharge
1,0.23,-73.987037658691406,40.749107360839844,1,N,-73.986091613769531,40.752681732177734,3,0,0.5,0.76,0,4.56,2,08/15/2015 06:41:46 PM,08/15/2015 06:43:31 PM,,1,0.3
1,0.2,-74.001426696777344,40.735954284667969,1,N,-74.002555847167969,40.733909606933594,2.5,0,0.5,0,0,3.3,1,08/08/2015 11:43:53 AM,08/08/2015 11:44:23 AM,,2,0.3
1,0.1,-73.983200073242187,40.750392913818359,1,N,-73.985054016113281,40.750202178955078,6.5,1,0.5,2.45,0,10.75,1,08/26/2015 06:13:04 PM,08/26/2015 06:21:17 PM,,1,0.3
1,0.1,-73.996681213378906,40.720985412597656,1,N,-73.99420166015625,40.720016479492188,3.5,0.5,0.5,0.95,0,5.75,1,08/24/2015 10:30:26 PM,08/24/2015 10:32:33 PM,,1,0.3
1,0.2,-73.955055236816406,40.780460357666016,1,N,-73.958084106445313,40.781940460205078,3,1,0.5,0.95,0,5.75,1,08/12/2015 05:48:18 PM,08/12/2015 05:49:40 PM,,1,0.3
1,0.16,-73.980110168457031,40.743309020996094,1,N,-73.978706359863281,40.745628356933594,3.5,0.5,0.5,0,0,4.8,2,08/04/2015 03:46:53 AM,08/04/2015 03:49:20 AM,,2,0.3
1,0.23,-73.979911804199219,40.743171691894531,1,N,-73.982086181640625,40.743247985839844,5.5,0,0.5,0,0,6.3,2,08/15/2015 11:39:00 AM,08/15/2015 11:45:40 AM,,2,0.3
1,0.2,-73.987533569335938,40.728935241699219,1,N,-73.989372253417969,40.728626251220703,3.5,0.5,0.5,0,0,4.8,1,08/15/2015 04:24:16 AM,08/15/2015 04:26:24 AM,,2,0.3
1,0.1,-73.975502014160156,40.751003265380859,1,N,-73.973724365234375,40.749889373779297,2.5,0,0.5,0,0,3.3,1,08/13/2015 01:10:13 PM,08/13/2015 01:11:00 PM,,2,0.3
1,0.2,-73.996055603027344,40.764873504638672,1,Y,-73.994651794433594,40.762638092041016,3,0.5,0.5,0,0,4.3,1,08/23/2015 03:56:30 AM,08/23/2015 03:57:56 AM,,2,0.3
1,0.2,-73.983230590820313,40.767940521240234,1,N,-73.982704162597656,40.766658782958984,3.5,1,0.5,0,0,5.3,1,08/24/2015 06:24:28 PM,08/24/2015 06:26:32 PM,,2,0.3
1,0.2,-73.937461853027344,40.745281219482422,1,N,-73.940559387207031,40.747276306152344,3,0,0.5,0,0,3.8,1,08/31/2015 08:01:38 AM,08/31/2015 08:02:10 AM,,2,0.3
1,0.22,-73.956298828125,40.716991424560547,1,N,-73.953544616699219,40.717784881591797,3,0.5,0.5,1.29,0,5.59,2,08/12/2015 08:26:41 PM,08/12/2015 08:27:42 PM,,1,0.3
1,0.19,-73.965370178222656,40.765102386474609,1,N,-73.963188171386719,40.764263153076172,2.5,0,0.5,0,0,3.3,2,08/08/2015 08:18:06 AM,08/08/2015 08:18:50 AM,,2,0.3
1,0.18,-73.961326599121094,40.765140533447266,1,N,-73.964393615722656,40.766304016113281,4,0,0.5,2.2,0,7,2,08/25/2015 07:47:32 AM,08/25/2015 07:50:39 AM,,1,0.3
1,0.24,-73.985862731933594,40.74652099609375,1,N,-73.988922119140625,40.744457244873047,3,0,0.5,0,0,3.8,2,08/18/2015 06:47:08 AM,08/18/2015 06:48:03 AM,,2,0.3
1,0.23,-73.99285888671875,40.763111114501953,1,N,-73.990432739257813,40.761631011962891,9.5,0,0.5,2.58,0,12.88,2,08/14/2015 11:47:11 AM,08/14/2015 12:01:40 PM,,1,0.3
1,0.14,-73.975936889648438,40.75225830078125,1,N,-73.975738525390625,40.750614166259766,3.5,0,0.5,0,0,4.3,2,08/11/2015 07:03:51 AM,08/11/2015 07:06:00 AM,,1,0.3
1,0.03,-73.975738525390625,40.786300659179688,1,N,-73.975364685058594,40.786140441894531,-2.5,0,-0.5,0,0,-3.3,2,08/09/2015 01:09:16 PM,08/09/2015 01:09:36 PM,,2,-0.3
1,0.2,-73.983444213867188,40.726287841796875,1,N,-73.985984802246094,40.72711181640625,3,0.5,0.5,1.05,0,5.35,1,08/08/2015 02:54:22 AM,08/08/2015 02:56:04 AM,,1,0.3
3,0.21,-73.980079650878906,40.761558532714844,1,N,-73.977371215820313,40.764270782470703,3.5,0,0.5,0,0,4.3,2,08/04/2015 08:41:34 AM,08/04/2015 08:43:32 AM,,2,0.3
